fecha,Sucursal,precio,cantidad,cliente,Vehiculo
9/27/2021,Rhyzio,$271.7M,95,Cecilio,Hyundai
5/4/2022,Rhynoodle,$161.51M,37,Dan,Mercedes-Benz
5/11/2022,Gabvine,$2.24B,58,Haily,Mitsubishi
5/6/2022,Podcat,$1.82B,61,Codi,Mitsubishi
6/23/2021,Demivee,$71.76M,73,Dalton,Volkswagen
9/21/2021,Innotype,$2.14B,4,Orrin,Porsche
11/13/2021,Jabbersphere,$54.13M,72,Teddie,Dodge
3/18/2022,Tagcat,$110.38M,62,Jonathon,Nissan
5/26/2022,Flipstorm,$25.92M,32,Tiebold,Hyundai
6/13/2022,Kazio,$41.88M,6,Mendy,Ford
9/17/2021,Quatz,$24.13B,52,Skippie,Chevrolet
1/8/2022,Twitternation,$1.21B,71,Chic,Kia
3/18/2022,Topicblab,n/a,9,Parrnell,Volkswagen
2/27/2022,Babbleopia,$24.52M,91,Neall,Chevrolet
1/28/2022,Thoughtblab,n/a,83,Kevan,Audi
7/12/2021,Tambee,$13.87M,23,Torrey,Mazda
4/26/2022,Yozio,$2.47B,95,Jon,Buick
11/8/2021,Snaptags,$788.51M,25,Cello,Ford
4/14/2022,Meevee,$116.83M,46,Avigdor,Maserati
8/17/2021,Twinder,$40.47B,93,Davide,Mercedes-Benz
6/5/2022,Chatterpoint,$1.03B,41,Oswell,Maserati
5/7/2022,Thoughtmix,$151.17M,73,Lothario,Mercedes-Benz
2/26/2022,Muxo,$1.22B,57,Kingston,Toyota
3/16/2022,Thoughtstorm,$7.43B,33,Foss,Toyota
8/26/2021,Quatz,$5.12B,24,Gare,Pontiac
8/15/2021,Izio,$1.4B,54,Raoul,Oldsmobile
10/13/2021,Mydeo,$61.03M,39,Jarib,Mercedes-Benz
12/16/2021,Oyondu,$1.08B,57,Verne,Infiniti
9/13/2021,Tagcat,$1.04B,8,Barr,Bentley
12/14/2021,Quire,$8.91M,70,Gilberto,Subaru
9/26/2021,Jabbercube,$22.36M,12,Gregoire,Chevrolet
3/21/2022,Chatterbridge,$1.77B,79,Nilson,Dodge
6/10/2022,Yodoo,$480.69M,22,Mortie,Buick
11/2/2021,Demivee,$2.54B,1,Tanney,GMC
10/8/2021,Yakidoo,$246.04M,28,Adair,Acura
6/8/2022,Fanoodle,$2.43B,99,Daniel,Daewoo
11/15/2021,Gevee,$387.13M,29,Brander,Subaru
10/28/2021,Miboo,$52.47B,98,Dean,Jeep
5/14/2022,Trudeo,$83.85B,91,Ezekiel,Jeep
11/15/2021,Linktype,$92.42M,80,Andrea,Chevrolet
10/28/2021,Linktype,$76.93B,7,Lew,Geo
1/9/2022,Brightbean,n/a,95,Herb,Pontiac
2/6/2022,Tagcat,$96.78M,61,Roth,GMC
6/29/2021,Pixope,$3.4B,100,Rooney,Nissan
7/28/2021,Zoombox,n/a,47,Fields,Citroën
8/29/2021,Jabberstorm,$99.14M,85,Wernher,Porsche
10/30/2021,Skidoo,$11.18B,65,Roderigo,Chevrolet
7/7/2021,Thoughtstorm,$6.5B,25,Filbert,Chevrolet
11/23/2021,Zoonoodle,n/a,12,Guthrey,Nissan
2/1/2022,Flipstorm,$2.43B,36,Ross,Ford
4/9/2022,Rooxo,$27.89B,79,Giuseppe,Hyundai
4/29/2022,Topicblab,$30.69M,84,Glyn,Buick
1/6/2022,Kimia,n/a,4,Felice,BMW
2/14/2022,Browsetype,$306.18B,16,Niven,Jaguar
7/3/2021,Kwilith,n/a,81,Bennett,Pontiac
2/16/2022,Dynabox,$14.05M,80,Johnnie,Toyota
7/31/2021,Muxo,$446M,100,Cornelius,Pontiac
12/27/2021,Tagcat,$6.28B,88,Noll,Lotus
9/10/2021,Skipstorm,$2.55B,39,Gerome,Subaru
7/5/2021,Fadeo,n/a,51,Jean,Honda
10/20/2021,Edgeblab,$350.57M,32,Shelby,Dodge
6/17/2022,Skyndu,$1.14B,14,Dennet,Chevrolet
4/2/2022,Zoozzy,$2.64B,90,Isidor,Toyota
8/13/2021,InnoZ,$897.42M,2,Lemmie,Nissan
8/9/2021,Realmix,$1.47B,57,Saunder,Hyundai
7/22/2021,Divape,$73.91M,44,Marlowe,Bentley
11/22/2021,Ntags,$6.2B,84,Hurley,GMC
11/16/2021,Fiveclub,$2.08B,7,Pavlov,Buick
12/5/2021,Vimbo,$27.17B,67,Weidar,Scion
5/19/2022,Browseblab,$4.17B,73,Zachery,Volkswagen
11/30/2021,Myworks,$405.38M,77,Burnard,Mitsubishi
4/8/2022,Jetwire,$1.4B,39,Rickert,Lexus
5/28/2022,Edgeify,$95.35M,41,Lionel,Chevrolet
8/7/2021,Riffpedia,$130.19M,92,Chico,Pontiac
8/13/2021,Voonix,$320.19M,27,Kylie,Volkswagen
3/14/2022,InnoZ,n/a,56,Cad,Toyota
3/7/2022,Eare,$2.09B,56,Mateo,Volkswagen
8/2/2021,Plambee,$12M,42,Bartholomew,GMC
3/21/2022,Centimia,n/a,93,Rip,Nissan
9/29/2021,Thoughtblab,$90.88M,32,Mattie,Oldsmobile
3/19/2022,Miboo,$8.45B,84,Ave,Volkswagen
9/6/2021,Oloo,$4.39B,14,Ashbey,Honda
4/9/2022,Roombo,$930.51M,92,Christophe,Pontiac
7/24/2021,Yodo,$10.8B,27,Shurlock,Nissan
2/4/2022,DabZ,$2.27B,30,Nels,Ford
10/8/2021,Youbridge,$54.41B,14,Gregg,Dodge
10/14/2021,Brainlounge,$1.27B,22,Josiah,Pontiac
3/10/2022,Fivechat,$298.66M,11,Leonardo,Hyundai
10/20/2021,Jaxnation,$85M,50,Trefor,Plymouth
6/1/2022,Voolia,n/a,27,Jens,Saab
7/24/2021,Myworks,$21.03M,26,Reynard,GMC
11/12/2021,Jabberstorm,n/a,59,Mohandas,Volkswagen
6/1/2022,Realpoint,$865.57M,59,Eb,Mazda
1/12/2022,Babbleblab,$154.55M,43,Darb,Pontiac
9/22/2021,Yodo,$1.46B,54,Gare,Volkswagen
2/12/2022,Trilith,n/a,75,Fidel,Maserati
4/12/2022,Riffpedia,$675.67M,14,Royce,Jaguar
8/4/2021,Innotype,$749.94M,3,Stinky,Mazda
4/16/2022,Bubblebox,$94.73M,87,Huntington,Maserati
8/2/2021,Layo,$195.63M,14,Vincents,Infiniti
6/16/2022,Photobug,$1.71B,3,Edsel,Toyota
4/4/2022,Fatz,$7.77B,16,Alexei,Land Rover
5/14/2022,Yombu,$5.31B,72,Gayelord,Lexus
7/25/2021,Youspan,$1.81B,75,Ham,Mercedes-Benz
8/11/2021,Myworks,n/a,56,Haven,Dodge
6/4/2022,Skipfire,$44.38M,14,Brant,Pontiac
4/27/2022,Edgepulse,$11.06B,81,Kelsey,Toyota
12/31/2021,Aimbo,n/a,13,Griffy,BMW
1/31/2022,Yotz,$5.91M,88,Abel,Toyota
10/16/2021,Blogtag,$157.67M,33,Brigg,Toyota
3/28/2022,Thoughtbridge,$296.86M,86,Tate,Mercury
3/18/2022,Topicware,$3.96B,42,Edvard,Volvo
3/19/2022,Livefish,n/a,62,Cletis,GMC
10/23/2021,Yozio,$612.59M,17,Scotti,Hyundai
6/16/2022,Kimia,$120.57B,53,Ilaire,Volkswagen
9/11/2021,Twimm,n/a,87,Eduardo,Subaru
12/1/2021,Dynava,$27.34M,78,Cale,Ford
4/24/2022,Mybuzz,$32.92M,89,Berky,Porsche
1/23/2022,Jamia,$73.95M,68,Munmro,Dodge
12/9/2021,Jazzy,$143.18M,66,Edvard,Pontiac
10/14/2021,Centimia,$1.42B,18,Rochester,Jaguar
9/26/2021,Yata,$14.12B,88,Shellysheldon,Chevrolet
2/7/2022,Photobug,$349.39M,19,Wolf,Isuzu
6/28/2021,Feedspan,$29.38B,10,Ralph,GMC
12/23/2021,Wikizz,$14.4B,56,Gawen,Mercedes-Benz
8/27/2021,Ailane,$13.56M,70,Cobb,BMW
12/11/2021,Dabjam,$394.2M,54,Karoly,Volvo
2/10/2022,Browseblab,$60M,28,Conney,Ford
9/23/2021,Myworks,n/a,89,Beaufort,Ford
11/24/2021,Topicblab,$54.07M,36,Zebulon,Volkswagen
7/14/2021,Gabvine,$17.3B,72,Rhys,Audi
1/26/2022,Oyonder,$645.41M,19,Neron,Mazda
9/19/2021,Avavee,$707.25M,86,Andrej,Cadillac
5/24/2022,Feedfire,$130.34M,52,Kasper,Volkswagen
10/3/2021,Chatterbridge,$238.94M,70,Arne,Isuzu
8/11/2021,Devpulse,$796.49M,68,Casar,Buick
1/17/2022,Jabberstorm,$315.63M,95,Tobin,GMC
