,fecha,Sucursal,precio,cantidad,cliente,Vehiculo
0,9/27/2021,Rhyzio,$271.7M,95,Cecilio,Hyundai
1,5/4/2022,Rhynoodle,$161.51M,37,Dan,Mercedes-Benz
2,5/11/2022,Gabvine,$2.24B,58,Haily,Mitsubishi
3,5/6/2022,Podcat,$1.82B,61,Codi,Mitsubishi
4,6/23/2021,Demivee,$71.76M,73,Dalton,Volkswagen
5,9/21/2021,Innotype,$2.14B,4,Orrin,Porsche
6,11/13/2021,Jabbersphere,$54.13M,72,Teddie,Dodge
7,3/18/2022,Tagcat,$110.38M,62,Jonathon,Nissan
8,5/26/2022,Flipstorm,$25.92M,32,Tiebold,Hyundai
9,6/13/2022,Kazio,$41.88M,6,Mendy,Ford
10,9/17/2021,Quatz,$24.13B,52,Skippie,Chevrolet
11,1/8/2022,Twitternation,$1.21B,71,Chic,Kia
12,3/18/2022,Topicblab,,9,Parrnell,Volkswagen
13,2/27/2022,Babbleopia,$24.52M,91,Neall,Chevrolet
14,1/28/2022,Thoughtblab,,83,Kevan,Audi
15,7/12/2021,Tambee,$13.87M,23,Torrey,Mazda
16,4/26/2022,Yozio,$2.47B,95,Jon,Buick
17,11/8/2021,Snaptags,$788.51M,25,Cello,Ford
18,4/14/2022,Meevee,$116.83M,46,Avigdor,Maserati
19,8/17/2021,Twinder,$40.47B,93,Davide,Mercedes-Benz
20,6/5/2022,Chatterpoint,$1.03B,41,Oswell,Maserati
21,5/7/2022,Thoughtmix,$151.17M,73,Lothario,Mercedes-Benz
22,2/26/2022,Muxo,$1.22B,57,Kingston,Toyota
23,3/16/2022,Thoughtstorm,$7.43B,33,Foss,Toyota
24,8/26/2021,Quatz,$5.12B,24,Gare,Pontiac
25,8/15/2021,Izio,$1.4B,54,Raoul,Oldsmobile
26,10/13/2021,Mydeo,$61.03M,39,Jarib,Mercedes-Benz
27,12/16/2021,Oyondu,$1.08B,57,Verne,Infiniti
28,9/13/2021,Tagcat,$1.04B,8,Barr,Bentley
29,12/14/2021,Quire,$8.91M,70,Gilberto,Subaru
30,9/26/2021,Jabbercube,$22.36M,12,Gregoire,Chevrolet
31,3/21/2022,Chatterbridge,$1.77B,79,Nilson,Dodge
32,6/10/2022,Yodoo,$480.69M,22,Mortie,Buick
33,11/2/2021,Demivee,$2.54B,1,Tanney,GMC
34,10/8/2021,Yakidoo,$246.04M,28,Adair,Acura
35,6/8/2022,Fanoodle,$2.43B,99,Daniel,Daewoo
36,11/15/2021,Gevee,$387.13M,29,Brander,Subaru
37,10/28/2021,Miboo,$52.47B,98,Dean,Jeep
38,5/14/2022,Trudeo,$83.85B,91,Ezekiel,Jeep
39,11/15/2021,Linktype,$92.42M,80,Andrea,Chevrolet
40,10/28/2021,Linktype,$76.93B,7,Lew,Geo
41,1/9/2022,Brightbean,,95,Herb,Pontiac
42,2/6/2022,Tagcat,$96.78M,61,Roth,GMC
